memorial_id,url,url_type,field_path,link_purpose,specificity,domain,date_added,added_by,last_verified_date,last_http_status,last_result,action_needed,date_fixed,notes
reedham-mid-air-collision-b-17-42-37963-and-b-,https://www.americanairmuseum.com/archive/place/reedham-war-memorial,external_narrative,.external_narratives[0].original_url,,specific,americanairmuseum.com,,holly,2026-04-06,200,OK,none,,
reedham-mid-air-collision-b-17-42-37963-and-b-,https://www.channel4.com/programmes/time-team/on-demand/25721-008,external_narrative,.external_narratives[3].original_url,,specific,channel4.com,,holly,2026-04-06,200,OK,none,,
reedham-mid-air-collision-b-17-42-37963-and-b-,https://www.greatyarmouthmercury.co.uk/news/24102950.reedham-war-memorial-remember-tragic-1944-bomber-crash/,external_narrative,.external_narratives[2].original_url,,specific,greatyarmouthmercury.co.uk,,holly,2026-04-06,200,OK,none,,
reigate-hill-b-17-flying-fortress,https://surreyhills.org/b17-80-years-memorial/,external_narrative,.external_narratives[2].original_url,,specific,surreyhills.org,,holly,2026-04-06,200,OK,none,,
reigate-hill-b-17-flying-fortress,https://www.iwm.org.uk/memorials/item/memorial/73208,external_narrative,.external_narratives[3].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
reigate-hill-b-17-flying-fortress,https://www.nationaltrust.org.uk/visit/surrey/reigate-hill-and-gatton-park/b17-wartime-plane-crash-on-reigate-hill,external_narrative,.external_narratives[0].original_url,,specific,nationaltrust.org.uk,,holly,2026-04-06,200,OK,none,,
reigate-hill-b-17-flying-fortress,https://www.surreyhillsarts.org/wing-tips/,external_narrative,.external_narratives[1].original_url,,specific,surreyhillsarts.org,,holly,2026-04-06,200,OK,none,,
reigate-hill-b-17-flying-fortress,https://www.uswarmemorials.org/html/monument_details.php?SiteID=2057&MemID=2707,external_narrative,.external_narratives[4].original_url,,specific,uswarmemorials.org,,holly,2026-04-06,200,OK,none,,
reigate-hill-b-17-flying-fortress,https://www.wingsmuseum.co.uk/our-work/aircrew-memorials/b-17g-tail-number-43-39035/,external_narrative,.external_narratives[5].original_url,,specific,wingsmuseum.co.uk,,holly,2026-04-06,200,OK,none,,
revesby-nd415,https://heritage-explorer.lincolnshire.gov.uk/Monument/MLI125802,external_narrative,.external_narratives[0].original_url,,specific,heritage-explorer.lincolnshire.gov.uk,,holly,2026-04-06,200,OK,none,,
revesby-nd415,https://www.airshowspresent.com/avro-lancaster-iii-nd415-memorial-st-lawrence-church-revesby.html,external_narrative,.external_narratives[1].original_url,,specific,airshowspresent.com,,holly,2026-04-06,200,OK,none,,
